,Zipcode,Population,Household Income,Median Age,Per Capita Income,lat,lng,city,state_id,Age_sqd,Popn_sqd,Income_sqd,zscore_age,zscore_pop,zscore_inc,c_zscore
19369,57077,1643.0,69474.0,34.2,26735.0,43.32013,-96.75782,Worthing,SD,17.640000000000025,78443852.38095288,141035752.2135657,0.7172557481624874,0.4110173224329461,0.49829125184694245,0.14689852184639388
19370,57078,19107.0,49530.0,41.3,31610.0,42.91596,-97.44363,Yankton,SD,127.68999999999994,74082972.36856726,65095085.87042707,0.2392833224371691,0.4276228806633864,0.6591516733021471,0.06744639224653534
19373,57105,22501.0,60159.0,35.8,34840.0,43.52065,-96.73534000000001,Sioux Falls,SD,33.639999999999965,144027519.4005166,6557939.566838057,0.6095436522243878,0.20192114276307438,0.8918140733589877,0.10976425392779791
19375,57107,10102.0,56953.0,30.9,27131.0,43.594879999999996,-96.82121,Sioux Falls,SD,0.8099999999999974,158287.33830686338,416221.8367887929,0.9394119460348188,0.9735426615309835,0.9727447923664425,0.8896311487664516
19377,57110,17125.0,73511.0,35.8,33974.0,43.543209999999995,-96.63772,Sioux Falls,SD,33.639999999999965,43892567.298053525,253218713.3745791,0.6095436522243878,0.5594263115762969,0.3277435727869181,0.11175883999639115
19380,57201,25277.0,52392.0,38.9,30173.0,44.9379,-97.09465,Watertown,SD,79.20999999999998,218364061.2510444,27104024.567682527,0.400851466344319,0.017316539224103922,0.7800601344043987,0.005414678323750695
19381,57212,2049.0,63611.0,39.6,31777.0,44.37942,-97.14329000000001,Arlington,SD,92.16000000000003,71416923.4095243,36154334.233129404,0.35372742437140003,0.4380164107026947,0.7459803879204927,0.11558102026099225
19382,57213,738.0,67500.0,43.5,26775.0,44.548629999999996,-96.52265,Astoria,SD,182.25,95293782.05864464,98046582.55445242,0.0911791905222814,0.3508346256740238,0.5816851380160006,0.01860741953407457
19386,57218,358.0,66949.0,22.7,25024.0,44.65767,-96.59183,Brandt,SD,53.29000000000001,102857190.65259257,87438347.68506466,0.5085635622824187,0.32556454305701776,0.6049627627774754,0.10016384420404907
19388,57220,745.0,73415.0,31.3,28781.0,44.46797,-96.92045,Bruce,SD,1.690000000000002,95157165.11086139,250172662.66775292,0.9124839220502937,0.3513001271959161,0.3317992025094255,0.10636013155258515
